dataset,τεκμηρίωση,1 τυφλή MST (τάση),2 τυφλή hierarchy+γωνία,3 prior+Kruskal (τάση),4 prior+Kruskal (γωνία),5 prior+Kruskal (oracle)
IEEE33,0.844,0.812,0.938,1.0,1.0,1.0
1-LV-semiurb4,0.857,0.071,0.714,0.976,1.0,1.0
1-LV-urban6,0.842,0.053,0.614,0.965,0.982,1.0
1-LV-rural2,0.853,0.158,0.568,1.0,0.989,1.0
