feeder,n_buses,baseline_recon_acc,gnn_lite_recon_acc
1-LV-rural1--0-sw,14,0.15384615384615385,0.3076923076923077
1-LV-semiurb4--0-sw,43,0.047619047619047616,0.11904761904761904
1-LV-urban6--0-sw,58,0.03508771929824561,0.15789473684210525
